OrderID,Date,City,Category,Price,Quantity,CustomerAge,PaymentMethod,Rating,TotalAmount,Month,MonthNum,Weekday,AgeGroup,RevenueSegment
1019,2024-12-08,Kathmandu,Electronics,16559.8675,1,28,eSewa,4.3,16559.8675,December,12,Sunday,25-34,Enterprise
1020,2024-09-03,Lalitpur,Home & Kitchen,7158.52,1,23,Cash on Delivery,4.7,7158.52,September,9,Tuesday,16-24,Premium
1021,2024-08-27,Biratnagar,Beauty,2639.53,1,30,Cash on Delivery,3.1,2639.53,August,8,Tuesday,25-34,Standard
1022,2024-12-11,Pokhara,Groceries,1518.14,1,35,eSewa,3.1,1518.14,December,12,Wednesday,35-44,Budget
1023,2024-12-25,Kathmandu,Electronics,16559.8675,1,22,Bank Transfer,3.8,16559.8675,December,12,Wednesday,16-24,Enterprise
1024,2024-05-23,Biratnagar,Books,2148.2,1,30,eSewa,5.0,2148.2,May,5,Thursday,25-34,Standard
1025,2024-01-09,Kathmandu,Books,2712.2,3,37,Cash on Delivery,4.5,8136.599999999999,January,1,Tuesday,35-44,Premium
1026,2024-03-15,Chitwan,Books,2383.65,1,35,Khalti,5.0,2383.65,March,3,Friday,35-44,Standard
1027,2024-12-31,Lalitpur,Books,2832.37,4,39,eSewa,5.0,11329.48,December,12,Tuesday,35-44,Enterprise
1028,2024-10-30,Bhaktapur,Electronics,3539.33,1,38,Cash on Delivery,4.4,3539.33,October,10,Wednesday,35-44,Standard
1029,2024-01-22,Kathmandu,Electronics,16559.8675,1,29,Cash on Delivery,4.4,16559.8675,January,1,Monday,25-34,Enterprise
1030,2024-04-06,Lalitpur,Groceries,1142.55,1,17,Cash on Delivery,4.1,1142.55,April,4,Saturday,16-24,Budget
1031,2024-01-17,Chitwan,Groceries,1472.81,2,16,Cash on Delivery,3.9,2945.62,January,1,Wednesday,16-24,Standard
1032,2024-10-28,Chitwan,Home & Kitchen,1019.48,3,22,Cash on Delivery,2.9,3058.44,October,10,Monday,16-24,Standard
1033,2024-08-10,Biratnagar,Groceries,506.78,1,35,Khalti,3.2,506.78,August,8,Saturday,35-44,Budget
1034,2024-04-13,Bhaktapur,Groceries,808.7,1,21,eSewa,5.0,808.7,April,4,Saturday,16-24,Budget
1035,2024-01-13,Kathmandu,Clothing,4145.51,2,24,Cash on Delivery,4.0,8291.02,January,1,Saturday,16-24,Premium
1036,2024-12-07,Kathmandu,Home & Kitchen,9019.88,1,31,eSewa,4.2,9019.88,December,12,Saturday,25-34,Premium
1037,2024-04-10,Pokhara,Clothing,4201.7,1,23,Khalti,4.6,4201.7,April,4,Wednesday,16-24,Standard
1038,2024-12-15,Lalitpur,Home & Kitchen,12756.73,1,30,Bank Transfer,4.8,12756.73,December,12,Sunday,25-34,Enterprise
1039,2024-04-29,Kathmandu,Home & Kitchen,10947.25,1,22,eSewa,4.0,10947.25,April,4,Monday,16-24,Enterprise
1040,2024-05-08,Kathmandu,Beauty,599.23,1,25,eSewa,3.6,599.23,May,5,Wednesday,25-34,Budget
1041,2024-09-28,Pokhara,Electronics,16559.8675,1,22,Cash on Delivery,5.0,16559.8675,September,9,Saturday,16-24,Enterprise
1042,2024-03-26,Kathmandu,Groceries,694.55,1,27,eSewa,5.0,694.55,March,3,Tuesday,25-34,Budget
1043,2024-08-09,Lalitpur,Beauty,2051.85,1,27,eSewa,4.5,2051.85,August,8,Friday,25-34,Standard
1044,2024-11-20,Bhaktapur,Groceries,1307.53,2,35,Bank Transfer,4.2,2615.06,November,11,Wednesday,35-44,Standard
1045,2024-05-31,Lalitpur,Home & Kitchen,9118.01,3,20,Cash on Delivery,4.3,27354.03,May,5,Friday,16-24,Enterprise
1046,2024-06-16,Chitwan,Groceries,2359.52,1,32,eSewa,3.6,2359.52,June,6,Sunday,25-34,Standard
1047,2024-04-24,Kathmandu,Beauty,3426.04,1,33,Khalti,3.5,3426.04,April,4,Wednesday,25-34,Standard
1048,2024-09-05,Lalitpur,Beauty,444.99,1,45,Khalti,2.6,444.99,September,9,Thursday,45-54,Budget
1049,2024-04-05,Kathmandu,Groceries,1090.28,1,43,Cash on Delivery,3.7,1090.28,April,4,Friday,35-44,Budget
1050,2024-03-24,Biratnagar,Electronics,16559.8675,1,36,Khalti,3.9,16559.8675,March,3,Sunday,35-44,Enterprise
1051,2024-09-21,Kathmandu,Home & Kitchen,14411.29,2,47,Khalti,5.0,28822.58,September,9,Saturday,45-54,Enterprise
1052,2024-02-22,Biratnagar,Groceries,1545.86,1,23,Khalti,4.1,1545.86,February,2,Thursday,16-24,Budget
1053,2024-11-26,Kathmandu,Beauty,3027.03,1,30,eSewa,3.6,3027.03,November,11,Tuesday,25-34,Standard
1054,2024-06-16,Kathmandu,Beauty,3402.38,1,35,eSewa,4.8,3402.38,June,6,Sunday,35-44,Standard
1055,2024-12-30,Pokhara,Beauty,1162.94,1,23,Cash on Delivery,3.9,1162.94,December,12,Monday,16-24,Budget
1056,2024-01-19,Kathmandu,Books,2174.24,1,27,eSewa,4.1,2174.24,January,1,Friday,25-34,Standard
1057,2024-12-26,Bhaktapur,Clothing,3834.38,2,20,Khalti,4.7,7668.76,December,12,Thursday,16-24,Premium
1058,2024-04-26,Chitwan,Home & Kitchen,4857.11,2,32,eSewa,4.1,9714.22,April,4,Friday,25-34,Premium
1059,2024-02-16,Lalitpur,Groceries,1768.99,1,26,Khalti,5.0,1768.99,February,2,Friday,25-34,Budget
1060,2024-01-12,Chitwan,Books,1275.77,2,28,eSewa,3.6,2551.54,January,1,Friday,25-34,Standard
1061,2024-03-30,Pokhara,Beauty,1326.31,1,23,Khalti,3.4,1326.31,March,3,Saturday,16-24,Budget
1062,2024-05-24,Kathmandu,Home & Kitchen,14804.19,1,45,eSewa,2.9,14804.19,May,5,Friday,45-54,Enterprise
1063,2024-03-22,Pokhara,Beauty,3670.43,2,37,eSewa,4.2,7340.86,March,3,Friday,35-44,Premium
1064,2024-04-28,Pokhara,Books,2624.98,1,29,eSewa,5.0,2624.98,April,4,Sunday,25-34,Standard
1065,2024-12-07,Biratnagar,Groceries,1525.91,1,23,eSewa,4.2,1525.91,December,12,Saturday,16-24,Budget
1066,2024-07-15,Chitwan,Electronics,3286.14,1,30,Cash on Delivery,4.1,3286.14,July,7,Monday,25-34,Standard
1067,2024-03-25,Pokhara,Beauty,3101.2,1,17,Cash on Delivery,4.5,3101.2,March,3,Monday,16-24,Standard
1068,2024-06-02,Pokhara,Clothing,2111.73,1,41,eSewa,4.0,2111.73,June,6,Sunday,35-44,Standard
1069,2024-08-09,Biratnagar,Electronics,16559.8675,1,24,Khalti,5.0,16559.8675,August,8,Friday,16-24,Enterprise
1070,2024-04-12,Kathmandu,Beauty,2595.15,2,16,Khalti,5.0,5190.3,April,4,Friday,16-24,Premium
1071,2024-11-30,Pokhara,Clothing,2067.15,1,38,Bank Transfer,4.4,2067.15,November,11,Saturday,35-44,Standard
1072,2024-09-29,Kathmandu,Home & Kitchen,7322.72,2,33,Khalti,4.1,14645.44,September,9,Sunday,25-34,Enterprise
1073,2024-04-20,Kathmandu,Beauty,1073.78,1,33,eSewa,3.3,1073.78,April,4,Saturday,25-34,Budget
1074,2024-04-02,Chitwan,Electronics,16559.8675,1,17,Cash on Delivery,4.5,16559.8675,April,4,Tuesday,16-24,Enterprise
1075,2024-11-21,Kathmandu,Clothing,1753.66,1,17,Khalti,3.9,1753.66,November,11,Thursday,16-24,Budget
1076,2024-10-08,Biratnagar,Books,1124.28,1,23,Cash on Delivery,4.3,1124.28,October,10,Tuesday,16-24,Budget
1077,2024-01-08,Bhaktapur,Beauty,309.6,2,25,Khalti,3.6,619.2,January,1,Monday,25-34,Budget
1078,2024-03-18,Pokhara,Books,861.13,2,37,Cash on Delivery,3.3,1722.26,March,3,Monday,35-44,Budget
1079,2024-09-30,Pokhara,Books,2298.93,1,16,eSewa,4.3,2298.93,September,9,Monday,16-24,Standard
1080,2024-09-29,Kathmandu,Beauty,974.45,1,23,Cash on Delivery,3.8,974.45,September,9,Sunday,16-24,Budget
1081,2024-08-20,Pokhara,Home & Kitchen,7530.37,1,30,Khalti,3.4,7530.37,August,8,Tuesday,25-34,Premium
1082,2024-04-10,Pokhara,Electronics,16559.8675,1,38,eSewa,5.0,16559.8675,April,4,Wednesday,35-44,Enterprise
1083,2024-05-29,Kathmandu,Beauty,1522.29,3,28,Cash on Delivery,2.3,4566.87,May,5,Wednesday,25-34,Standard
1084,2024-11-06,Biratnagar,Books,998.27,1,31,Bank Transfer,4.8,998.27,November,11,Wednesday,25-34,Budget
1085,2024-03-02,Chitwan,Books,2930.19,1,48,eSewa,5.0,2930.19,March,3,Saturday,45-54,Standard
1086,2024-11-19,Pokhara,Home & Kitchen,3712.1,4,16,eSewa,4.1,14848.4,November,11,Tuesday,16-24,Enterprise
1087,2024-05-18,Chitwan,Clothing,3955.01,1,37,Khalti,2.8,3955.01,May,5,Saturday,35-44,Standard
1088,2024-01-13,Bhaktapur,Clothing,2968.71,1,51,Cash on Delivery,3.6,2968.71,January,1,Saturday,45-54,Standard
1089,2024-11-29,Chitwan,Electronics,16559.8675,2,36,Cash on Delivery,3.9,33119.735,November,11,Friday,35-44,Enterprise
1090,2024-12-26,Bhaktapur,Home & Kitchen,12753.97,1,34,eSewa,4.5,12753.97,December,12,Thursday,25-34,Enterprise
1091,2024-05-11,Kathmandu,Groceries,1696.47,1,45,Khalti,4.8,1696.47,May,5,Saturday,45-54,Budget
1092,2024-12-18,Bhaktapur,Books,2719.07,1,16,Cash on Delivery,4.1,2719.07,December,12,Wednesday,16-24,Standard
1093,2024-02-08,Kathmandu,Clothing,2945.99,3,30,eSewa,4.6,8837.97,February,2,Thursday,25-34,Premium
1094,2024-08-18,Lalitpur,Home & Kitchen,12075.16,1,38,eSewa,4.7,12075.16,August,8,Sunday,35-44,Enterprise
1095,2024-05-02,Bhaktapur,Home & Kitchen,8892.43,2,30,Khalti,3.3,17784.86,May,5,Thursday,25-34,Enterprise
1096,2024-06-05,Lalitpur,Beauty,771.71,1,16,Cash on Delivery,3.8,771.71,June,6,Wednesday,16-24,Budget
1097,2024-10-18,Bhaktapur,Groceries,1638.75,1,40,Bank Transfer,4.4,1638.75,October,10,Friday,35-44,Budget
1098,2024-12-11,Chitwan,Books,836.58,1,32,Khalti,3.2,836.58,December,12,Wednesday,25-34,Budget
1099,2024-06-19,Chitwan,Electronics,16559.8675,2,46,Bank Transfer,4.6,33119.735,June,6,Wednesday,45-54,Enterprise
1100,2024-02-20,Bhaktapur,Clothing,3970.61,1,21,eSewa,4.0,3970.61,February,2,Tuesday,16-24,Standard
1101,2024-01-01,Biratnagar,Books,721.7,2,52,Khalti,4.5,1443.4,January,1,Monday,45-54,Budget
1102,2024-11-08,Kathmandu,Electronics,16559.8675,1,20,Khalti,2.8,16559.8675,November,11,Friday,16-24,Enterprise
1103,2024-12-12,Pokhara,Groceries,2315.1,1,27,eSewa,2.9,2315.1,December,12,Thursday,25-34,Standard
1104,2024-12-09,Kathmandu,Electronics,16559.8675,1,23,eSewa,4.8,16559.8675,December,12,Monday,16-24,Enterprise
1105,2024-03-24,Pokhara,Clothing,3485.92,1,39,Khalti,4.2,3485.92,March,3,Sunday,35-44,Standard
1106,2024-08-02,Pokhara,Electronics,16559.8675,1,24,Khalti,5.0,16559.8675,August,8,Friday,16-24,Enterprise
1107,2024-01-19,Kathmandu,Electronics,4601.61,1,27,Khalti,5.0,4601.61,January,1,Friday,25-34,Standard
1108,2024-11-14,Kathmandu,Home & Kitchen,7631.45,1,24,Cash on Delivery,3.9,7631.45,November,11,Thursday,16-24,Premium
1109,2024-03-27,Chitwan,Clothing,1718.35,1,40,eSewa,2.4,1718.35,March,3,Wednesday,35-44,Budget
1110,2024-09-05,Biratnagar,Groceries,1313.22,1,34,eSewa,3.3,1313.22,September,9,Thursday,25-34,Budget
1111,2024-10-14,Biratnagar,Clothing,4123.92,5,26,Cash on Delivery,5.0,20619.6,October,10,Monday,25-34,Enterprise
1112,2024-01-07,Lalitpur,Beauty,1803.65,1,36,eSewa,4.5,1803.65,January,1,Sunday,35-44,Budget
1113,2024-01-02,Chitwan,Groceries,1499.3,1,16,Cash on Delivery,5.0,1499.3,January,1,Tuesday,16-24,Budget
1114,2024-09-17,Kathmandu,Groceries,1516.71,1,24,Cash on Delivery,5.0,1516.71,September,9,Tuesday,16-24,Budget
1115,2024-10-06,Kathmandu,Groceries,2376.29,2,32,Khalti,4.1,4752.58,October,10,Sunday,25-34,Standard
1116,2024-01-09,Lalitpur,Electronics,16559.8675,1,17,eSewa,4.7,16559.8675,January,1,Tuesday,16-24,Enterprise
1117,2024-01-29,Kathmandu,Groceries,1112.09,1,16,Khalti,4.5,1112.09,January,1,Monday,16-24,Budget
1118,2024-04-26,Kathmandu,Electronics,16559.8675,2,32,Khalti,4.9,33119.735,April,4,Friday,25-34,Enterprise
1119,2024-07-08,Pokhara,Electronics,16559.8675,1,26,Khalti,4.3,16559.8675,July,7,Monday,25-34,Enterprise
1120,2024-01-11,Pokhara,Clothing,807.12,2,30,Khalti,4.9,1614.24,January,1,Thursday,25-34,Budget
1121,2024-03-09,Pokhara,Clothing,2284.92,4,32,eSewa,2.7,9139.68,March,3,Saturday,25-34,Premium
1122,2024-12-30,Kathmandu,Home & Kitchen,1530.25,1,25,eSewa,5.0,1530.25,December,12,Monday,25-34,Budget
1123,2024-04-13,Pokhara,Electronics,16559.8675,2,36,Cash on Delivery,3.7,33119.735,April,4,Saturday,35-44,Enterprise
1124,2024-01-12,Pokhara,Home & Kitchen,14541.33,1,18,Khalti,3.9,14541.33,January,1,Friday,16-24,Enterprise
1125,2024-08-02,Bhaktapur,Groceries,1857.34,2,30,Bank Transfer,4.1,3714.68,August,8,Friday,25-34,Standard
1126,2024-12-30,Lalitpur,Home & Kitchen,3941.17,5,30,Bank Transfer,3.7,19705.85,December,12,Monday,25-34,Enterprise
1127,2024-09-26,Kathmandu,Clothing,3055.75,3,22,eSewa,4.6,9167.25,September,9,Thursday,16-24,Premium
1128,2024-04-12,Kathmandu,Groceries,2366.24,1,17,eSewa,4.1,2366.24,April,4,Friday,16-24,Standard
1129,2024-07-01,Pokhara,Clothing,4482.49,1,42,Khalti,4.4,4482.49,July,7,Monday,35-44,Standard
1130,2024-01-16,Pokhara,Books,1092.51,1,28,Khalti,4.9,1092.51,January,1,Tuesday,25-34,Budget
1131,2024-05-20,Pokhara,Clothing,595.71,2,53,eSewa,3.6,1191.42,May,5,Monday,45-54,Budget
1132,2024-12-24,Pokhara,Electronics,16559.8675,1,16,Cash on Delivery,3.9,16559.8675,December,12,Tuesday,16-24,Enterprise
1133,2024-07-11,Chitwan,Clothing,1551.23,1,21,Bank Transfer,3.9,1551.23,July,7,Thursday,16-24,Budget
1134,2024-07-16,Chitwan,Beauty,3209.48,1,32,Bank Transfer,4.8,3209.48,July,7,Tuesday,25-34,Standard
1135,2024-02-28,Pokhara,Clothing,1251.65,5,25,Cash on Delivery,4.6,6258.25,February,2,Wednesday,25-34,Premium
1136,2024-08-05,Kathmandu,Books,845.88,1,34,eSewa,4.1,845.88,August,8,Monday,25-34,Budget
1137,2024-03-01,Kathmandu,Electronics,16559.8675,5,16,Bank Transfer,5.0,82799.3375,March,3,Friday,16-24,Enterprise
1138,2024-04-29,Bhaktapur,Groceries,2058.0,1,28,Khalti,5.0,2058.0,April,4,Monday,25-34,Standard
1139,2024-08-13,Biratnagar,Groceries,410.84,2,34,Khalti,5.0,821.68,August,8,Tuesday,25-34,Budget
1140,2024-02-07,Kathmandu,Groceries,16559.8675,1,29,eSewa,5.0,16559.8675,February,2,Wednesday,25-34,Enterprise
1141,2024-03-21,Kathmandu,Home & Kitchen,2354.46,2,30,Bank Transfer,4.9,4708.92,March,3,Thursday,25-34,Standard
1142,2024-12-12,Biratnagar,Groceries,934.74,1,31,Cash on Delivery,5.0,934.74,December,12,Thursday,25-34,Budget
1143,2024-06-17,Kathmandu,Home & Kitchen,12878.26,2,32,eSewa,3.6,25756.52,June,6,Monday,25-34,Enterprise
1144,2024-01-31,Biratnagar,Beauty,3559.22,2,26,Cash on Delivery,4.1,7118.44,January,1,Wednesday,25-34,Premium
1145,2024-01-12,Kathmandu,Clothing,4180.85,2,37,Bank Transfer,2.9,8361.7,January,1,Friday,35-44,Premium
1146,2024-12-09,Biratnagar,Electronics,9161.02,1,26,eSewa,3.6,9161.02,December,12,Monday,25-34,Premium
1147,2024-02-29,Kathmandu,Electronics,16559.8675,1,36,eSewa,4.6,16559.8675,February,2,Thursday,35-44,Enterprise
1148,2024-01-17,Bhaktapur,Home & Kitchen,1763.29,1,27,eSewa,5.0,1763.29,January,1,Wednesday,25-34,Budget
1149,2024-06-23,Chitwan,Groceries,2145.8,5,24,Cash on Delivery,4.4,10729.0,June,6,Sunday,16-24,Enterprise
1150,2024-03-19,Biratnagar,Beauty,381.86,1,28,Bank Transfer,3.1,381.86,March,3,Tuesday,25-34,Budget
1151,2024-10-11,Bhaktapur,Groceries,1183.33,1,40,eSewa,5.0,1183.33,October,10,Friday,35-44,Budget
1152,2024-01-21,Chitwan,Electronics,16559.8675,1,26,eSewa,5.0,16559.8675,January,1,Sunday,25-34,Enterprise
1153,2024-06-11,Kathmandu,Clothing,4523.45,1,18,Cash on Delivery,5.0,4523.45,June,6,Tuesday,16-24,Standard
1154,2024-05-24,Kathmandu,Groceries,2423.66,1,28,Khalti,3.2,2423.66,May,5,Friday,25-34,Standard
1155,2024-01-24,Chitwan,Groceries,2012.31,1,41,Khalti,4.5,2012.31,January,1,Wednesday,35-44,Standard
1156,2024-12-05,Pokhara,Books,1875.32,1,29,eSewa,3.0,1875.32,December,12,Thursday,25-34,Budget
1157,2024-03-12,Kathmandu,Books,1112.59,1,27,eSewa,4.1,1112.59,March,3,Tuesday,25-34,Budget
1158,2024-02-01,Lalitpur,Clothing,2659.72,1,32,Cash on Delivery,4.5,2659.72,February,2,Thursday,25-34,Standard
1159,2024-06-08,Kathmandu,Electronics,16417.59,5,16,eSewa,4.0,82087.95,June,6,Saturday,16-24,Enterprise
1160,2024-10-15,Biratnagar,Clothing,1969.08,1,17,Bank Transfer,3.2,1969.08,October,10,Tuesday,16-24,Budget
1161,2024-04-15,Kathmandu,Clothing,3602.59,2,32,Cash on Delivery,3.5,7205.18,April,4,Monday,25-34,Premium
1162,2024-08-10,Lalitpur,Books,1865.37,1,36,Cash on Delivery,4.4,1865.37,August,8,Saturday,35-44,Budget
1163,2024-01-07,Lalitpur,Books,2393.58,1,49,eSewa,5.0,2393.58,January,1,Sunday,45-54,Standard
1164,2024-01-14,Kathmandu,Groceries,197.81,1,20,Cash on Delivery,3.7,197.81,January,1,Sunday,16-24,Budget
1165,2024-07-29,Kathmandu,Groceries,488.01,1,19,Cash on Delivery,4.6,488.01,July,7,Monday,16-24,Budget
1166,2024-11-27,Kathmandu,Beauty,1848.08,1,29,Cash on Delivery,4.5,1848.08,November,11,Wednesday,25-34,Budget
1167,2024-01-20,Pokhara,Beauty,1579.96,1,38,Khalti,5.0,1579.96,January,1,Saturday,35-44,Budget
1168,2024-03-06,Lalitpur,Clothing,3763.66,1,35,Bank Transfer,5.0,3763.66,March,3,Wednesday,35-44,Standard
1169,2024-08-24,Pokhara,Clothing,4605.64,1,25,Cash on Delivery,4.6,4605.64,August,8,Saturday,25-34,Standard
1170,2024-01-14,Chitwan,Home & Kitchen,13708.26,1,30,Khalti,3.9,13708.26,January,1,Sunday,25-34,Enterprise
1171,2024-01-14,Pokhara,Books,472.7,1,40,eSewa,2.7,472.7,January,1,Sunday,35-44,Budget
1172,2024-06-11,Lalitpur,Groceries,849.16,1,39,eSewa,3.5,849.16,June,6,Tuesday,35-44,Budget
1173,2024-01-10,Kathmandu,Beauty,1177.0,1,30,eSewa,3.1,1177.0,January,1,Wednesday,25-34,Budget
1174,2024-09-20,Lalitpur,Books,608.12,1,22,eSewa,4.5,608.12,September,9,Friday,16-24,Budget
1175,2024-07-22,Pokhara,Electronics,16559.8675,1,33,Khalti,4.4,16559.8675,July,7,Monday,25-34,Enterprise
1176,2024-11-29,Kathmandu,Books,776.36,1,36,eSewa,4.1,776.36,November,11,Friday,35-44,Budget
1177,2024-11-20,Kathmandu,Groceries,1185.28,3,45,Khalti,4.7,3555.84,November,11,Wednesday,45-54,Standard
1178,2024-08-04,Lalitpur,Clothing,4843.03,1,28,Khalti,5.0,4843.03,August,8,Sunday,25-34,Standard
1179,2024-05-30,Kathmandu,Clothing,2041.94,1,39,eSewa,3.3,2041.94,May,5,Thursday,35-44,Standard
1180,2024-06-05,Pokhara,Clothing,1347.57,2,28,Cash on Delivery,4.3,2695.14,June,6,Wednesday,25-34,Standard
1181,2024-05-24,Biratnagar,Clothing,2184.34,1,33,eSewa,4.5,2184.34,May,5,Friday,25-34,Standard
1182,2024-05-26,Chitwan,Electronics,16559.8675,1,34,Khalti,4.9,16559.8675,May,5,Sunday,25-34,Enterprise
1183,2024-03-03,Chitwan,Books,2041.97,5,39,Cash on Delivery,3.9,10209.85,March,3,Sunday,35-44,Enterprise
1184,2024-04-07,Pokhara,Beauty,1368.14,1,40,Cash on Delivery,3.1,1368.14,April,4,Sunday,35-44,Budget
1185,2024-12-30,Biratnagar,Clothing,4450.51,1,31,eSewa,3.3,4450.51,December,12,Monday,25-34,Standard
1186,2024-11-11,Lalitpur,Electronics,16559.8675,1,39,Khalti,5.0,16559.8675,November,11,Monday,35-44,Enterprise
1187,2024-04-19,Lalitpur,Books,404.95,1,30,Khalti,5.0,404.95,April,4,Friday,25-34,Budget
1188,2024-06-02,Kathmandu,Clothing,2656.32,1,30,eSewa,3.2,2656.32,June,6,Sunday,25-34,Standard
1189,2024-11-21,Bhaktapur,Home & Kitchen,9432.25,2,31,Cash on Delivery,5.0,18864.5,November,11,Thursday,25-34,Enterprise
1190,2024-05-03,Chitwan,Groceries,118.15,1,19,eSewa,5.0,118.15,May,5,Friday,16-24,Budget
1191,2024-02-21,Lalitpur,Beauty,1601.0,1,30,Khalti,4.7,1601.0,February,2,Wednesday,25-34,Budget
1192,2024-03-17,Pokhara,Clothing,3246.5,2,28,Cash on Delivery,4.0,6493.0,March,3,Sunday,25-34,Premium
1193,2024-11-07,Biratnagar,Clothing,4099.01,1,22,Cash on Delivery,4.0,4099.01,November,11,Thursday,16-24,Standard
1194,2024-05-20,Lalitpur,Home & Kitchen,1416.46,1,30,eSewa,4.1,1416.46,May,5,Monday,25-34,Budget
1195,2024-04-30,Biratnagar,Electronics,16559.8675,1,27,eSewa,4.7,16559.8675,April,4,Tuesday,25-34,Enterprise
1196,2024-04-09,Pokhara,Beauty,1417.62,2,23,Khalti,4.3,2835.24,April,4,Tuesday,16-24,Standard
1197,2024-02-18,Bhaktapur,Electronics,16559.8675,1,26,eSewa,4.5,16559.8675,February,2,Sunday,25-34,Enterprise
1198,2024-06-08,Lalitpur,Beauty,2675.29,1,36,eSewa,3.0,2675.29,June,6,Saturday,35-44,Standard
1199,2024-03-25,Lalitpur,Electronics,16559.8675,1,16,Cash on Delivery,2.5,16559.8675,March,3,Monday,16-24,Enterprise
1200,2024-01-19,Lalitpur,Groceries,2479.01,1,36,Cash on Delivery,3.9,2479.01,January,1,Friday,35-44,Standard
1201,2024-03-13,Kathmandu,Home & Kitchen,2016.35,2,24,eSewa,3.1,4032.7,March,3,Wednesday,16-24,Standard
1202,2024-01-27,Lalitpur,Electronics,16559.8675,1,35,Cash on Delivery,2.9,16559.8675,January,1,Saturday,35-44,Enterprise
1203,2024-11-21,Kathmandu,Home & Kitchen,5405.54,1,16,Bank Transfer,3.0,5405.54,November,11,Thursday,16-24,Premium
1204,2024-02-05,Chitwan,Books,1133.99,1,30,eSewa,4.7,1133.99,February,2,Monday,25-34,Budget
1205,2024-01-12,Kathmandu,Clothing,935.04,1,39,Bank Transfer,4.6,935.04,January,1,Friday,35-44,Budget
1206,2024-04-27,Chitwan,Beauty,743.37,4,30,Cash on Delivery,4.7,2973.48,April,4,Saturday,25-34,Standard
1207,2024-08-18,Biratnagar,Beauty,643.84,1,31,eSewa,5.0,643.84,August,8,Sunday,25-34,Budget
1208,2024-04-23,Kathmandu,Beauty,433.79,1,16,eSewa,3.1,433.79,April,4,Tuesday,16-24,Budget
1209,2024-06-02,Lalitpur,Electronics,16559.8675,1,37,Khalti,4.1,16559.8675,June,6,Sunday,35-44,Enterprise
1210,2024-01-12,Chitwan,Books,1786.41,1,30,Khalti,4.0,1786.41,January,1,Friday,25-34,Budget
1211,2024-12-01,Kathmandu,Clothing,4406.26,2,25,eSewa,4.9,8812.52,December,12,Sunday,25-34,Premium
1212,2024-10-02,Lalitpur,Groceries,1767.88,1,31,Khalti,4.7,1767.88,October,10,Wednesday,25-34,Budget
1213,2024-04-19,Biratnagar,Electronics,16559.8675,1,25,Bank Transfer,4.8,16559.8675,April,4,Friday,25-34,Enterprise
1214,2024-01-25,Kathmandu,Books,609.85,1,32,Bank Transfer,3.3,609.85,January,1,Thursday,25-34,Budget
1215,2024-06-08,Kathmandu,Home & Kitchen,7041.07,1,43,eSewa,5.0,7041.07,June,6,Saturday,35-44,Premium
